,,,,
,PERINGKAT,DAERAH,JUMLAH-ENTRI,BAHAN-LOKAL
,1,Aceh,7,"Tepung ketan, santan, nangka muda, nanas, jeruk peras, gula, mentega, tepung terigu, daging sapi, kerbau, ikan kayu, tongkol, tuna, cakalang"
,2,Yogyakarta,7,"Tepung ketan, tepung maizena, santan, kacang tanah, gula pasir, tepung tapioka, pati singkong, singkong, gaplek, tepung kacang hijau, gula merah, nangka muda, kluwek"
,3,Jawa TImur,6,"Tepung jagung, tepung mocaf, Singkong jemur, air kapur sirih, parutan kelapa, singkong, kluwek, daging sapi, ayam, jeroan, telur, cingur, sapi"
,4,Ambon,4,"Sagu, kelapa, garam, gula, sagu lempeng, gula merah, santan, pala bubuk, kenari"
,5,NTB,4,"Ketan, kacang tolo, umbut, hati batang pisang, santan, tepung tapioka, parutan kelapa, ayam, bawang merah, bawang putih, cabe merah, terasi, tomat, air jeruk"
