alias,canonical
"pisang ketip, segar",pisang ketip segar
"pisang kidang, segar",pisang kidang segar
"pisang lampung, segar",pisang lampung segar
"pisang mas bali  ampenan, segar",pisang mas bali ampenan segar
"pisang mas bali  kopang, segar",pisang mas bali kopang segar
"pisang mas, segar",pisang mas segar
"pisang raja sereh,  segar",pisang raja sereh segar
"pisang raja, segar",pisang raja segar
"pisang rotan, segar",pisang rotan segar
"pisang talas, segar",pisang talas segar
"pisang ua, segar",pisang ua segar
"pisang uli, segar",pisang uli segar
"pucuk lumai/daun  leunca, segar",pucuk lumai daun leunca segar
"punai, daging, goreng",punai daging
"purut, segar",purut segar
"putri malu, segar",putri malu segar
"rajungan, segar",rajungan segar
"rambutan binjai,  segar",rambutan binjai segar
"rambutan, segar",rambutan segar
rasbi (beras ubi),rasbi beras ubi
rasi (beras singkong),rasi beras singkong
"rawon, masakan",rawon masakan
"rebon, kering, mentah",rebon mentah
"rebon, udang kecil,  segar",rebon udang kecil segar
"rebung laut, mentah",rebung laut mentah
"rebung, segar",rebung segar
rempeyek kacang  tanah,rempeyek kacang tanah
"rendang sapi,  masakan",sapi masakan
renggi goreng,renggi
rica-rica taipa,taipa
"rimbang, segar",rimbang segar
roti warna sawo  matang,roti warna sawo matang
"rusa, daging,  dendeng, mentah",rusa daging dendeng mentah
"rw, anjing, masakan",rw anjing masakan
"saboko gurita,  masakan",saboko gurita masakan
"saboko saltan,  masakan",saboko saltan masakan
"saboko sardin,  masakan",saboko sardin masakan
"saga merah terkupas,  mentah",saga merah terkupas mentah
"sagu aren, kering",sagu aren
"sagu aren, segar",sagu aren segar
sagu lemak (kue  sagon),sagu lemak kue sagon
sagu rendang,sagu
"sagu singkong, kering",sagu singkong
"salak bali, segar",salak bali segar
"salak medan, segar",salak medan segar
"salak pondoh, segar",salak pondoh segar
"salak, segar",salak segar
"sale pisang, cilacap",sale pisang cilacap
santan (dengan air),santan dengan air
saos tomat,tomat
"sapi, abon",sapi abon
"sapi, abon, asli",sapi abon asli
"sapi, babat, segar",sapi babat segar
"sapi, daging, asap",sapi daging asap
"sapi, daging, dendeng,  mentah",sapi daging dendeng mentah
"sapi, daging, gemuk,  segar",sapi daging gemuk segar
"sapi, daging, kornet",sapi daging kornet
"sapi, daging, kurus,  segar",sapi daging kurus segar
"sapi, daging, lemak  sedang, segar",sapi daging lemak sedang segar
"sapi, daging, sosis  (worst)",sapi daging sosis worst
"sapi, daleman, segar",sapi daleman segar
"sapi, dideh/darah",sapi dideh darah
"sapi, ginjal, segar",sapi ginjal segar
"sapi, hati, sosis  (liverworst)",sapi hati sosis liverworst
"sapi, keleponan, segar",sapi keleponan segar
"sapi, liver, segar",sapi liver segar
"sapi, otak, segar",sapi otak segar
"sapi, paru, dendeng,  mentah",sapi paru dendeng mentah
"sapi, paru, goreng",sapi paru
"sapi, usus, segar",sapi usus segar
"saridele, bubuk",saridele bubuk
"sate pusut, masakan",sate pusut masakan
"sate, penyu, masakan",sate penyu masakan
"sawi putih / pecai,  segar",sawi putih pecai segar
"sawi taiwan, segar",sawi taiwan segar
"sawi tanah, segar",sawi tanah segar
"sawi, segar",sawi segar
"sawo duren, segar",sawo duren segar
"sawo kecik, segar",sawo kecik segar
"sawo manila, segar",sawo manila segar
sayur asem,asem
sayur bunga pepaya,bunga pepaya
sayur garu,garu
sayur kohu-kohu,kohu kohu
sayur lebui,lebui
sayur lilin-terubuk,lilin terubuk
sayur ndusuk,ndusuk
sayur umbut kelapa,umbut kelapa
sayur umbut rotan,umbut rotan
"selada air, segar",selada air segar
"selada, rebus",selada
"selada, segar",selada segar
"seledri, segar",seledri segar
"semangka, segar",semangka segar
semur jengkol,jengkol
"sente, talas, segar",sente talas segar
"sepi, masakan",sepi masakan
serimping talas  kebumen,serimping talas kebumen
shabu-shabu,shabu shabu
"sie reuboh, masakan",sie reuboh masakan
"sirsak, segar",sirsak segar
"sop buntut, masakan",buntut masakan
"sop daging sapi,  masakan",daging sapi masakan
"sop kaki sapi,  masakan",kaki sapi masakan
"sop kambing,  masakan",kambing masakan
"sop konro, masakan",konro masakan
"sop saudara, masakan",saudara masakan
"soto bandung,  masakan",bandung masakan
"soto banjar, masakan",banjar masakan
"soto betawi, masakan",betawi masakan
"soto jeroan, masakan",jeroan masakan
"soto kudus, masakan",kudus masakan
"soto madura,  masakan",madura masakan
"soto padang, masakan",padang masakan
"soto pekalongan,  masakan",pekalongan masakan
"soto pemalang,  masakan",pemalang masakan
"soto sukaraja,  masakan",sukaraja masakan
"soto sulung, masakan",sulung masakan
"sowa, segar",sowa segar
"srikaya, segar",srikaya segar
"sukiyaki, masakan",sukiyaki masakan
"sukun muda, segar",sukun muda segar
"sukun tua, segar",sukun tua segar
"susu asam untuk bayi,  bubuk",susu asam bayi bubuk
susu ibu - asi,susu ibu asi
"susu kambing, segar",susu kambing segar
"susu kerbau, segar",susu kerbau segar
"susu kuda, segar",susu kuda segar
"susu sapi, segar",susu sapi segar
"susu skim, bubuk",susu skim bubuk
"susu skim, segar",susu skim segar
"suweg, talas, kukus",suweg talas
"suweg, talas, segar",suweg talas segar
tahu goreng,tahu
"tahu, mentah",tahu mentah
"talas bogor, kukus",talas bogor
"talas bogor, segar",talas bogor segar
"talas pontianak, segar",talas pontianak segar
"talas viqueque, segar",talas viqueque segar
"taoge kacang  tunggak, segar",taoge kacang tunggak segar
"taoge kacang kedelai,  segar",taoge kacang kedelai segar
"taoge, goreng",taoge
"taoge, seduh",taoge seduh
"taoge, segar",taoge segar
"tauco cap beruang,  cake",tauco cap beruang cake
"tauco cap das, cake",tauco cap das cake
"tebu terubuk (lilin),  segar",tebu terubuk lilin segar
"tedong pallu basa,  masakan",tedong pallu basa masakan
teh hijau daun kering,hijau daun
teh hitam daun kering,hitam daun
teh melati daun  kering,melati daun
"tekokak, kering",tekokak
"tekokak, segar",tekokak segar
"tekwan, masakan",tekwan masakan
"telur aayam ras,  bagian putih, segar",telur aayam ras bagian putih segar
"telur ayam kampung,  segar",telur ayam kampung segar
"telur ayam ras, bagian  kuning, segar",telur ayam ras bagian kuning segar
"telur ayam ras, segar",telur ayam ras segar
"telur ayam, dadar,  masakan",telur ayam dadar masakan
"telur bebek alabio,  segar",telur bebek alabio segar
"telur bebek tambak,  segar",telur bebek tambak segar
"telur bebek, asin,  mentah",telur bebek asin mentah
"telur bebek, bagian  kuning, segar",telur bebek bagian kuning segar
"telur bebek, bagian  putih, segar",telur bebek bagian putih segar
"telur bebek, dadar,  masakan",telur bebek dadar masakan
"telur burung maleo,  segar",telur burung maleo segar
"telur burung puyuh,  segar",telur burung puyuh segar
"telur penyu, segar",telur penyu segar
tempe gembus p3g,tempe gembus p
tempe kacang  belimbing,tempe kacang belimbing
tempe kedelai +  jagung,tempe kedelai jagung
"tempe kedelai murni,  goreng",tempe kedelai murni
"tempe kedelai murni,  mentah",tempe kedelai murni mentah
"tempe lamtoro var,  gung dengan kulit",tempe lamtoro var gung dengan kulit
"tempe lamtoro var,  gung tanpa kulit",tempe lamtoro var gung tanpa kulit
tempe pasar goreng,tempe pasar
tepung hunkwe (pati  kacang ijo),tepung hunkwe pati kacang ijo
"tepung kentang,  kering",tepung kentang
tepung singkong/  tapioka,tepung singkong tapioka
"teri belado, masakan",teri belado masakan
"teripang, dendeng,  mentah",teripang dendeng mentah
"terong asam, segar",terong asam segar
"terong hintalo, segar",terong hintalo segar
"terong, segar",terong segar
"terung belanda, segar",terung belanda segar
"terung bengkulu,  segar",terung bengkulu segar
"terung panjang,  kukus",terung panjang
"tikus rica, masakan",tikus masakan
tinira ninahu  nggaluku,tinira ninahu nggaluku
"tinoransa, masakan",tinoransa masakan
tipa-tipa,tipa tipa
"tomat merah, segar",tomat merah segar
"tomat muda, segar",tomat muda segar
"tomat, air (sari), segar",tomat air sari segar
"tumis bandeng,  masakan",bandeng masakan
tumis bayam  bersantan,bayam bersantan
tumis keumamah,keumamah
"ubi jalar manis, segar",ubi jalar manis segar
"ubi jalar merah, segar",ubi jalar merah segar
"ubi jalar putih, segar",ubi jalar putih segar
ubi jalar tinta/  kemayung,ubi jalar tinta kemayung
ubi jalar tinta/  kemayung kukus,ubi jalar tinta kemayung
"ubi jalar, kuning,  kukus",ubi jalar kuning
"ubi jalar, kuning, segar",ubi jalar kuning segar
"uceng/ bunga melinjo,  segar",uceng bunga melinjo segar
"udang galah, segar",udang galah segar
"udang kering, mentah",udang mentah
"udang papay, mentah",udang papay mentah
"udang, besar, segar",udang besar segar
"udang, segar",udang segar
"ulat sagu, panggang",ulat sagu
"umbi uwi, segar",umbi uwi segar
"umbut kelapa, segar",umbut kelapa segar
"vigus, segar",vigus segar
"wani, segar",wani segar
"wijen, mentah",wijen mentah
woku ubi,ubi
"wortel, kukus",wortel
"wortel, rebus",wortel
"wortel, segar",wortel segar
"yoghurt, segar",yoghurt segar
